Homicidios,Hurtos
6,8
1,1
2,15
7,4
0,3
33,134
2,0
5,8
5,6
4,18
3,1
10,85
2,2
4,4
7,11
7,47
4,3
13,2
4,2
15,17
1,1
2,3
1,0
4,17
1,2
136,1491
0,1
2,2
